  likeliklyhood    time   words   iteration
    -1003802.00  578.76      23           0
     -320777.90  612.61      35           1
     -318515.60  579.07      45           2
     -316506.20  588.58      47           3
     -314229.30  580.28      42           4
     -311176.90  603.43      42           5
     -306576.50  617.70      74           6
     -300357.60  651.24      68           7
     -293254.20  642.94      49           8
     -282788.50  642.01      61           9
     -262943.40  666.32      34          10
     -223682.00  666.93      22          11
     -173659.70  649.17       8          12
     -147113.00  598.96       7          13
     -137958.90  514.52       2          14
     -133748.40  420.48       6          15
     -130742.20  303.06       6          16
     -127532.10  264.74       9          17
     -123678.60  204.15       6          18
     -119443.30  173.03       7          19
     -115249.50  155.46      13          20
     -111547.60  135.61      11          21
     -108392.70  126.03       8          22
     -105173.60  112.12      10          23
     -101368.00  106.35      19          24
      -97895.16   99.16      14          25
      -95662.32   91.17      20          26
      -94056.64   81.63      17          27
      -92430.34   73.42      22          28
      -90331.63   71.27      27          29
      -88211.63   70.14      24          30
      -86942.36   66.85      20          31
      -86480.89   64.08      22          32
      -86061.69   58.50      25          33
      -85618.66   57.87      33          34
      -85212.41   56.58      23          35
      -84834.45   55.30      30          36
      -84506.96   54.62      31          37
      -84157.83   53.84      34          38
      -83786.90   52.37      30          39
      -83377.36   51.10      33          40
      -82838.51   50.85      26          41
      -82220.34   50.35      34          42
      -81304.08   49.78      41          43
      -80193.98   50.45      45          44
      -78953.93   47.81      44          45
      -77521.51   47.35      63          46
      -75530.46   47.17      82          47
      -73068.88   46.53      86          48
      -71348.59   46.39      82          49
      -70798.39   45.57      79          50
      -70552.96   45.17      79          51
      -70183.95   43.99      96          52
      -70066.46   44.06      90          53
      -69902.46   43.27     101          54
      -69742.54   43.67      77          55
      -69565.22   43.87      60          56
      -69402.98   42.32      98          57
      -69253.53   42.09      66          58
      -69125.66   41.51      69          59
      -69043.20   41.05      85          60
      -68956.44   40.83      93          61
      -68854.36   40.68      66          62
      -68760.95   42.95      69          63
      -68698.03   40.10      73          64
      -68671.06   39.55      75          65
      -68642.05   39.29      70          66
      -68593.49   39.33      69          67
      -68552.91   38.95      77          68
      -68498.59   38.17      89          69
      -68456.75   37.83      84          70
      -68448.00   37.52      73          71
      -68400.84   37.73      83          72
      -68319.49   37.86      72          73
      -68290.70   37.43      76          74
      -68300.16   39.04      68          75
      -68217.18   37.69      71          76
      -68189.11   36.99      72          77
      -68086.79   36.08      69          78
      -68068.97   35.85      79          79
      -68005.03   35.57      69          80
      -67915.84   35.40      80          81
      -67820.89   35.14      80          82
      -67792.72   34.81      76          83
      -67754.63   34.53      81          84
      -67664.99   34.34      88          85
      -67648.74   34.56      84          86
      -67694.30   34.35      75          87
      -67712.59   34.10     102          88
      -67680.03   33.34      89          89
      -67676.44   33.21      85          90
      -67598.20   33.13      81          91
      -67619.76   32.87      78          92
      -67659.87   32.70      87          93
      -67608.58   32.44      80          94
      -67601.24   32.54      67          95
      -67507.95   32.28      67          96
      -67458.72   32.46      88          97
      -67377.58   32.03      84          98
      -67394.34   31.97      76          99
      -67358.78   31.68      76         100
      -67339.64   31.83      88         101
      -67300.86   31.30      97         102
      -67258.87   31.50      91         103
      -67236.52   31.65      87         104
      -67194.31   31.21      72         105
      -67240.41   30.93      88         106
      -67226.11   30.82      86         107
      -67257.59   30.52      68         108
      -67258.33   31.26      72         109
      -67225.06   29.99      81         110
      -67221.99   29.71      77         111
      -67225.74   29.63      79         112
      -67223.82   29.52     102         113
      -67249.47   29.63      88         114
      -67273.65   29.42      96         115
      -67259.30   29.41      84         116
      -67276.15   29.24      75         117
      -67301.78   30.39      85         118
      -67291.02   28.88      74         119
      -67289.15   29.06      89         120
      -67300.92   28.70      83         121
      -67312.50   29.36      89         122
      -67323.23   28.68      80         123
      -67393.11   28.73      71         124
      -67411.77   28.80      69         125
      -67370.69   28.59      76         126
      -67419.59   28.92      74         127
      -67402.22   28.40      79         128
      -67422.85   28.51      82         129
      -67424.84   28.53      73         130
      -67449.94   28.64      65         131
      -67439.95   28.42      69         132
      -67515.69   28.68      64         133
      -67510.58   28.27      74         134
      -67523.16   28.14      82         135
      -67567.76   28.05      75         136
      -67622.76   27.85      76         137
      -67588.67   27.83      75         138
      -67604.00   28.03      79         139
      -67569.48   27.47      74         140
      -67555.19   27.45      89         141
      -67547.89   27.55      85         142
      -67488.27   27.45      93         143
      -67447.03   28.60      98         144
      -67350.24   27.29     102         145
      -67238.92   27.31      97         146
      -67228.06   27.35      77         147
      -67151.41   27.02      80         148
      -67093.54   26.84      68         149
      -67055.24   26.91      67         150
      -66936.45   26.78      80         151
      -66883.99   27.01      71         152
      -66808.64   26.54      86         153
      -66743.00   26.40      74         154
      -66691.78   26.19      78         155
      -66573.45   26.01      81         156
      -66482.92   25.97      75         157
      -66466.60   25.71      80         158
      -66391.39   25.61      80         159
      -66348.33   25.54      72         160
      -66334.84   25.37      73         161
      -66242.89   25.42      83         162
      -66236.78   25.27      89         163
      -66213.28   25.19      83         164
      -66199.16   25.22      86         165
      -66106.49   25.15      80         166
      -65980.32   25.51      81         167
      -65866.35   24.91      74         168
      -65791.67   25.12      83         169
      -65694.20   25.92      71         170
      -65663.35   24.97      93         171
      -65569.17   24.85      79         172
      -65492.52   25.02      76         173
      -65359.14   24.68      84         174
      -65258.66   24.78      70         175
      -65242.93   24.54      90         176
      -65136.01   24.57      84         177
      -65043.00   24.57      96         178
      -64984.58   25.12      78         179
      -64895.11   24.54      86         180
      -64818.18   24.14      87         181
      -64820.94   24.58      87         182
      -64732.21   23.95      89         183
      -64682.88   24.04      95         184
      -64615.11   24.07      95         185
      -64586.84   23.94      90         186
      -64587.87   23.86      90         187
      -64573.25   23.83      91         188
      -64559.27   23.87      75         189
      -64545.95   23.88      79         190
      -64537.17   23.58      87         191
      -64458.89   23.69      75         192
      -64442.88   23.46      82         193
      -64370.38   23.40      78         194
      -64376.01   23.38      71         195
      -64394.55   23.55      92         196
      -64400.89   23.47      79         197
      -64403.67   23.42      79         198
      -64405.33   23.33      64         199
      -64402.09   23.28      83         200
      -64369.19   23.15      67         201
      -64414.17   23.33      76         202
      -64431.26   23.27      70         203
      -64447.60   23.12      71         204
      -64440.97   23.04      65         205
      -64438.31   22.97      79         206
      -64425.12   23.01      80         207
      -64443.54   22.75      75         208
      -64442.91   22.81      63         209
      -64449.84   22.78      75         210
      -64473.77   22.91      81         211
      -64486.11   22.62      82         212
      -64491.79   22.64      72         213
      -64468.09   22.52      73         214
      -64442.07   22.57      81         215
      -64499.14   22.81      70         216
      -64521.99   22.61      66         217
      -64488.50   22.64      64         218
      -64445.08   22.70      67         219
      -64445.47   22.47      67         220
      -64380.89   22.61      70         221
      -64390.93   22.33      77         222
      -64385.33   22.37      79         223
      -64403.37   22.40      84         224
      -64369.87   22.38      88         225
      -64344.01   22.36      81         226
      -64314.72   22.30      69         227
      -64278.16   22.31     102         228
      -64304.59   22.19      86         229
      -64270.59   22.01      94         230
      -64197.71   22.03      84         231
      -64184.01   21.91      77         232
      -64145.78   23.09      82         233
      -64122.36   21.80      84         234
      -64165.25   21.79      92         235
      -64146.67   21.74      84         236
      -64115.83   21.74      71         237
      -64096.56   21.60      74         238
      -64091.35   21.49      77         239
      -64077.22   21.51      80         240
      -64071.56   21.31      84         241
      -64067.81   21.29      81         242
      -64037.49   21.07      77         243
      -64039.32   21.13      68         244
      -64029.43   21.13      85         245
      -64022.75   21.13      90         246
      -64010.74   21.09      90         247
      -63985.19   20.99      94         248
      -63967.62   21.10      92         249
      -63972.84   20.88      87         250
      -63962.13   21.00      85         251
      -63945.12   20.81      89         252
      -63945.57   20.70      81         253
      -63953.05   21.25      73         254
      -63940.30   20.95      89         255
      -63927.97   20.93      83         256
      -63884.41   20.63      97         257
      -63877.39   20.67      89         258
      -63883.54   20.63      88         259
      -63908.72   20.47      83         260
      -63871.95   20.93      84         261
      -63873.06   20.59      74         262
      -63837.39   20.88      80         263
      -63851.78   20.46      87         264
      -63844.01   20.56      91         265
      -63828.80   20.48      84         266
      -63846.38   20.47      83         267
      -63824.80   20.49      97         268
      -63812.92   20.38      96         269
      -63832.60   20.70      90         270
      -63846.00   20.43      82         271
      -63862.52   20.37      83         272
      -63901.31   20.37      81         273
      -63875.35   20.33      83         274
      -63893.90   20.66      91         275
      -63897.63   20.13      92         276
      -63901.82   20.27      94         277
      -63887.22   20.14      94         278
      -63881.44   20.26      89         279
      -63889.57   20.56      87         280
      -63877.31   20.15      96         281
      -63858.40   20.05      91         282
      -63850.30   19.88      93         283
      -63863.93   20.52      97         284
      -63859.66   19.83      87         285
      -63828.71   19.80      75         286
      -63816.93   19.75      78         287
      -63803.11   20.62      81         288
      -63809.76   19.58      88         289
      -63824.46   19.55      81         290
      -63812.01   19.50      83         291
      -63801.49   19.47      81         292
      -63817.29   19.44      75         293
      -63809.75   19.55      80         294
      -63795.96   19.51      87         295
      -63799.22   19.43      88         296
      -63773.63   19.54      90         297
      -63787.42   19.47      88         298
      -63786.65   20.82      93         299
      -63779.08   19.34      90         300
      -63783.17   19.36      79         301
      -63779.27   19.31      87         302
      -63765.61   19.20      83         303
      -63777.03   19.22      86         304
      -63765.75   19.16      76         305
      -63760.90   20.71      81         306
      -63757.56   19.30      85         307
      -63751.05   19.28      81         308
      -63739.62   19.19      85         309
      -63742.02   19.22      86         310
      -63763.27   18.98      88         311
      -63760.69   18.99      87         312
      -63755.62   18.92      88         313
      -63749.06   18.84      84         314
      -63764.19   18.79      79         315
      -63772.79   18.61      81         316
      -63770.41   18.50      72         317
      -63752.82   18.63      69         318
      -63766.79   18.64      66         319
      -63760.92   18.63      71         320
      -63783.48   18.57      74         321
      -63779.47   18.48      75         322
      -63762.02   18.38      86         323
      -63752.16   18.19      80         324
      -63740.48   18.15      88         325
      -63744.21   18.19      91         326
      -63737.56   18.22      85         327
      -63708.88   18.03      84         328
