  likeliklyhood    time   words   iteration
     -534004.70   10.17      44           0
     -320052.40    9.64      36           1
     -318137.90    9.86      47           2
     -315978.90    9.66      59           3
     -313317.10    9.86      47           4
     -310083.40    9.84      58           5
     -306539.10   10.04      45           6
     -302945.40   10.35      38           7
     -298834.60   10.66      60           8
     -292503.80   11.04      48           9
     -280819.50   10.90      34          10
     -258128.00   11.08      35          11
     -225826.30   11.51      19          12
     -203925.20   11.46       5          13
     -192435.00   11.24      14          14
     -180203.20   10.38       3          15
     -167422.30    9.00       3          16
     -159789.90    7.75       3          17
     -156075.50    6.44       3          18
     -152582.30    5.87      12          19
     -146348.70    5.39       6          20
     -137156.50    4.84      13          21
     -131319.50    3.95       5          22
     -129269.20    2.91      11          23
     -128098.60    2.10       7          24
     -127229.30    1.83       7          25
     -126604.00    1.80       4          26
     -126044.90    1.80       8          27
     -125493.20    1.71       8          28
     -124911.60    1.65      15          29
     -124402.30    1.55      14          30
     -123780.50    1.61      14          31
     -123185.30    1.56      11          32
     -122717.20    1.48      11          33
     -122319.80    1.50       9          34
     -122014.10    1.58       6          35
     -121837.50    1.48      10          36
     -121670.00    1.54      13          37
     -121582.50    1.56       8          38
     -121538.90    1.47       6          39
     -121515.60    1.50       5          40
     -121477.60    1.41       6          41
     -121524.80    1.48       8          42
     -121431.00    1.43       7          43
     -121379.50    1.42       7          44
     -121402.80    1.48       7          45
     -121413.40    1.45       6          46
     -121423.30    1.39       8          47
     -121408.80    1.42       6          48
     -121414.00    1.39       6          49
     -121402.60    1.31       6          50
     -121420.20    1.33       6          51
     -121393.40    1.19       4          52
     -121396.30    1.20       6          53
     -121396.40    1.15       6          54
     -121365.50    1.15       6          55
     -121341.20    1.16       7          56
     -121349.90    1.10       8          57
     -121335.30    1.08       7          58
     -121356.20    1.10       7          59
     -121313.20    1.07       8          60
     -121324.60    1.09       8          61
     -121329.20    1.08      10          62
     -121326.30    1.07       7          63
     -121314.30    1.07       8          64
     -121299.30    1.11       8          65
     -121320.10    1.11       8          66
     -121316.20    1.07       8          67
     -121289.20    1.07       7          68
     -121293.70    1.08       6          69
     -121329.00    1.07       7          70
     -121344.70    1.17       8          71
     -121337.50    1.07       7          72
     -121289.80    1.09       6          73
     -121275.30    1.08       4          74
     -121299.00    1.13       7          75
     -121291.50    1.13       6          76
     -121291.50    1.06      10          77
     -121286.90    1.08      11          78
     -121281.70    1.07      10          79
     -121220.90    1.09      10          80
     -121183.70    1.13      10          81
     -121095.00    1.09      14          82
     -121001.60    1.06      12          83
     -120760.80    1.13      15          84
     -120452.40    1.06      12          85
     -120057.20    1.14      13          86
     -119421.70    1.08      16          87
     -118476.10    1.06      26          88
     -117146.50    1.10      28          89
     -115422.70    1.11      30          90
     -114147.60    1.06      30          91
     -113786.20    1.11      30          92
     -113745.30    1.11      30          93
     -113752.20    0.88      30          94
     -113762.60    0.86      30          95
     -113748.40    0.88      30          96
     -113741.60    0.89      30          97
     -113739.70    0.87      30          98
     -113743.00    0.91      29          99
     -113725.60    0.88      28         100
     -113742.10    0.89      28         101
     -113760.60    0.85      27         102
     -113752.90    0.91      28         103
     -113763.10    0.90      29         104
     -113773.20    0.88      29         105
     -113753.10    0.85      28         106
     -113751.90    0.87      28         107
     -113747.50    0.86      29         108
     -113769.30    0.93      29         109
     -113772.40    0.86      29         110
     -113765.10    0.87      29         111
     -113764.10    0.86      29         112
     -113773.80    0.85      30         113
     -113773.30    0.86      29         114
     -113777.50    0.91      30         115
     -113762.50    0.85      30         116
     -113772.40    0.86      29         117
     -113750.30    0.86      29         118
     -113763.80    0.85      29         119
     -113751.60    0.89      29         120
     -113750.90    0.85      29         121
     -113740.00    0.86      29         122
     -113738.10    0.86      29         123
     -113731.90    0.85      29         124
     -113738.10    0.85      29         125
     -113731.90    0.91      29         126
     -113738.10    0.86      29         127
     -113731.90    0.87      29         128
     -113738.10    0.87      29         129
     -113731.90    0.84      29         130
     -113738.10    0.85      29         131
     -113731.90    0.92      29         132
     -113738.10    0.87      29         133
     -113731.90    0.85      29         134
     -113738.10    0.86      29         135
     -113731.90    0.86      29         136
     -113738.10    0.91      29         137
     -113731.90    0.88      29         138
     -113738.10    0.88      29         139
     -113731.90    0.87      29         140
     -113738.10    0.87      29         141
     -113731.90    0.90      29         142
     -113738.10    0.85      29         143
     -113731.90    0.84      29         144
     -113738.10    0.85      29         145
     -113731.90    0.85      29         146
     -113738.10    0.90      29         147
     -113731.90    0.85      29         148
     -113738.10    0.84      29         149
     -113731.90    0.87      29         150
     -113738.10    0.88      29         151
     -113731.90    0.92      29         152
     -113738.10    0.84      29         153
     -113731.90    0.85      29         154
     -113738.10    0.87      29         155
     -113731.90    0.87      29         156
     -113738.10    0.90      29         157
     -113731.90    0.86      29         158
     -113738.10    0.87      29         159
     -113731.90    0.86      29         160
     -113738.10    0.91      29         161
     -113731.90    0.86      29         162
     -113738.10    0.85      29         163
     -113731.90    0.86      29         164
     -113738.10    0.87      29         165
     -113731.90    0.84      29         166
     -113738.10    0.94      29         167
     -113731.90    0.88      29         168
     -113738.10    0.89      29         169
     -113731.90    0.87      29         170
     -113738.10    0.90      29         171
     -113731.90    0.86      29         172
     -113738.10    0.85      29         173
     -113731.90    0.86      29         174
     -113738.10    0.85      29         175
     -113731.90    0.91      29         176
     -113738.10    0.86      29         177
     -113731.90    0.85      29         178
     -113738.10    0.86      29         179
     -113731.90    0.86      29         180
     -113738.10    0.85      29         181
     -113731.90    0.91      29         182
     -113738.10    0.87      29         183
     -113731.90    0.84      29         184
     -113738.10    0.85      29         185
     -113731.90    0.85      29         186
     -113738.10    0.89      29         187
     -113731.90    0.86      29         188
     -113738.10    0.84      29         189
     -113731.90    0.85      29         190
     -113738.10    0.87      29         191
     -113731.90    0.86      29         192
     -113738.10    0.87      29         193
     -113731.90    0.89      29         194
     -113738.10    0.89      29         195
     -113731.90    0.91      29         196
     -113738.10    0.86      29         197
     -113731.90    0.87      29         198
     -113738.10    0.92      29         199
     -113731.90    0.88      29         200
     -113738.10    0.87      29         201
     -113731.90    0.88      29         202
     -113738.10    0.85      29         203
     -113731.90    0.91      29         204
     -113738.10    0.85      29         205
     -113731.90    0.85      29         206
     -113738.10    0.85      29         207
     -113731.90    0.87      29         208
     -113738.10    0.91      29         209
     -113731.90    0.84      29         210
     -113738.10    0.86      29         211
     -113731.90    0.86      29         212
     -113738.10    0.85      29         213
     -113731.90    0.86      29         214
     -113738.10    0.87      29         215
     -113731.90    0.91      29         216
     -113738.10    0.87      29         217
     -113731.90    0.86      29         218
     -113738.10    0.86      29         219
     -113731.90    0.86      29         220
     -113738.10    0.89      29         221
     -113731.90    0.85      29         222
     -113738.10    0.86      29         223
     -113731.90    0.87      29         224
     -113738.10    0.89      29         225
     -113731.90    1.08      29         226
     -113738.10    0.90      29         227
     -113731.90    0.88      29         228
     -113738.10    0.93      29         229
     -113731.90    1.00      29         230
     -113738.10    0.97      29         231
     -113731.90    0.98      29         232
     -113738.10    0.92      29         233
     -113731.90    0.90      29         234
     -113738.10    0.93      29         235
     -113731.90    0.88      29         236
     -113738.10    0.89      29         237
