  likeliklyhood    time   words   iteration
     -749287.90   75.79      32           0
     -322081.20   75.60      28           1
     -320232.70   74.35      28           2
     -318505.90   81.73      44           3
     -316706.50   77.48      39           4
     -314511.10   76.95      37           5
     -311389.20   78.60      48           6
     -306741.40   81.06      49           7
     -300134.90   84.05      55           8
     -290475.80   80.05      46           9
     -274163.20   83.51      51          10
     -242946.80   90.91      33          11
     -193131.00   86.01      16          12
     -155851.80   83.51       7          13
     -143115.00   83.83       8          14
     -136550.30   76.22      11          15
     -130608.90   67.13       6          16
     -124128.70   58.96       9          17
     -117560.50   52.05      21          18
     -110398.60   43.48      30          19
     -102409.90   35.81      47          20
      -96411.45   29.16      67          21
      -92973.17   23.13      80          22
      -90160.10   15.80      56          23
      -87786.00   13.04      65          24
      -86610.38   11.25      72          25
      -86026.15    9.59      73          26
      -85539.69    9.02      58          27
      -85071.59    8.74      63          28
      -84857.42    8.67      56          29
      -84610.14    8.35      59          30
      -84502.78    8.48      77          31
      -84401.77    7.61      63          32
      -84326.19    7.46      61          33
      -84247.09    7.14      70          34
      -84165.76    6.83      84          35
      -84155.25    6.77      84          36
      -84026.82    6.73      80          37
      -83986.40    6.87      61          38
      -83995.44    6.75      76          39
      -83954.50    6.99      74          40
      -83964.04    6.98      79          41
      -83820.30    6.61      78          42
      -83699.48    6.52      78          43
      -83661.12    6.37      73          44
      -83614.82    6.35      60          45
      -83534.21    7.37      72          46
      -83442.02    7.42      80          47
      -83421.58    7.21      86          48
      -83238.69    7.15      89          49
      -83132.79    6.69      88          50
      -83069.97    6.54      80          51
      -82999.14    6.25      73          52
      -82891.89    6.16      69          53
      -82779.24    5.87      75          54
      -82764.01    5.61      68          55
      -82657.35    5.94      69          56
      -82569.78    6.02      76          57
      -82529.96    5.68      74          58
      -82407.88    6.09      83          59
      -82320.19    6.15      72          60
      -82302.69    7.12      68          61
      -82199.26    6.30      70          62
      -82161.82    6.47      73          63
      -82120.66    6.38      79          64
      -82106.89    6.54      74          65
      -82118.75    5.74      69          66
      -82113.74    5.52      64          67
      -82097.49    5.11      66          68
      -82037.85    5.63      67          69
      -82046.72    5.60      83          70
      -81979.87    5.11      79          71
      -81949.10    5.40      81          72
      -81883.04    5.56      75          73
      -81884.23    5.11      73          74
      -81825.67    5.61      78          75
      -81836.43    5.87      71          76
      -81815.11    5.64      63          77
      -81804.15    5.31      65          78
      -81774.61    5.20      72          79
      -81764.27    5.15      73          80
      -81734.22    5.23      69          81
      -81721.50    5.37      64          82
      -81717.62    5.04      59          83
      -81681.27    4.92      56          84
      -81681.76    4.95      61          85
      -81655.23    4.89      62          86
      -81643.56    4.88      68          87
      -81640.71    4.88      70          88
      -81643.10    4.88      72          89
      -81640.59    4.93      71          90
      -81658.43    4.88      67          91
      -81658.77    4.90      63          92
      -81647.92    4.89      65          93
      -81657.61    4.83      62          94
      -81650.35    4.79      64          95
      -81631.75    4.82      64          96
      -81584.84    4.78      62          97
      -81586.51    4.87      59          98
      -81576.01    4.75      60          99
      -81579.99    4.73      63         100
      -81558.98    4.73      58         101
      -81563.86    4.74      61         102
      -81529.97    4.69      67         103
      -81564.09    4.64      67         104
      -81561.41    4.63      72         105
      -81555.15    4.61      72         106
      -81543.25    4.59      75         107
      -81546.61    4.65      80         108
      -81523.41    4.61      81         109
      -81513.74    4.89      81         110
      -81517.06    5.14      79         111
      -81504.10    4.84      78         112
      -81505.51    5.14      75         113
      -81492.39    5.47      72         114
      -81514.44    4.83      70         115
      -81496.72    4.86      74         116
      -81494.43    4.72      69         117
      -81480.05    4.86      66         118
      -81496.89    4.58      68         119
      -81485.22    4.47      73         120
      -81485.92    4.49      76         121
      -81486.02    4.45      73         122
      -81509.70    4.74      74         123
      -81497.86    4.44      78         124
      -81489.86    4.43      76         125
      -81489.52    4.55      78         126
      -81488.37    4.42      82         127
      -81482.11    4.48      79         128
      -81447.87    4.44      80         129
      -81451.79    4.46      79         130
      -81466.42    4.49      77         131
      -81462.20    4.64      76         132
      -81454.76    4.56      74         133
      -81455.33    4.43      73         134
      -81461.81    4.44      70         135
      -81443.14    4.41      73         136
      -81415.44    4.45      73         137
      -81401.99    4.43      74         138
      -81394.13    4.46      76         139
      -81397.05    4.44      74         140
      -81394.06    4.44      71         141
      -81386.78    4.42      74         142
      -81362.24    4.46      70         143
      -81352.41    4.40      72         144
      -81360.32    4.48      68         145
      -81338.44    4.42      74         146
      -81322.95    4.42      75         147
      -81293.36    4.43      77         148
      -81328.61    4.42      75         149
      -81308.54    4.45      72         150
