  likeliklyhood    time   words   iteration
      -81300.27    4.43      72         151
      -81320.69    4.52      69         152
      -81293.10    4.43      72         153
      -81285.93    4.71      70         154
      -81284.60    4.44      68         155
      -81285.41    4.43      74         156
      -81276.09    4.52      71         157
      -81262.08    4.42      77         158
      -81252.12    4.46      74         159
      -81234.87    4.46      76         160
      -81226.64    4.43      77         161
      -81233.23    4.38      79         162
      -81231.59    4.79      74         163
      -81233.29    4.58      70         164
      -81220.80    4.47      69         165
      -81219.47    4.44      72         166
      -81213.37    4.42      71         167
      -81196.64    4.63      76         168
      -81200.67    4.44      72         169
      -81184.92    4.48      73         170
      -81189.44    4.40      73         171
      -81182.21    4.40      71         172
      -81148.32    4.44      68         173
      -81154.99    4.88      69         174
      -81150.04    4.51      69         175
      -81152.87    4.47      69         176
      -81141.99    4.41      68         177
      -81136.89    4.45      72         178
      -81131.49    4.40      74         179
      -81140.39    4.39      70         180
      -81126.93    4.39      74         181
      -81128.65    4.56      74         182
      -81118.85    4.52      81         183
      -81131.37    4.46      80         184
      -81137.87    4.25      83         185
      -81125.11    4.27      78         186
      -81130.83    4.28      75         187
      -81138.37    4.26      74         188
      -81131.57    4.22      80         189
      -81117.19    4.24      72         190
      -81107.10    4.26      72         191
      -81102.19    4.24      74         192
      -81097.04    4.25      69         193
      -81105.98    4.31      66         194
      -81104.92    4.21      69         195
      -81088.03    4.25      69         196
      -81089.63    4.25      68         197
      -81096.72    4.22      71         198
      -81088.00    4.22      66         199
      -81091.40    4.30      68         200
      -81086.02    4.18      67         201
      -81065.67    4.23      67         202
      -81072.82    4.17      64         203
      -81056.45    4.43      65         204
      -81064.59    4.16      63         205
      -81047.22    4.19      64         206
      -81034.84    4.16      67         207
      -81040.89    4.06      68         208
      -81049.87    4.14      68         209
      -81044.02    4.08      63         210
      -81052.66    4.12      60         211
      -81050.90    4.16      61         212
      -81047.14    4.05      62         213
      -81050.01    4.12      63         214
      -81057.69    4.13      63         215
      -81071.28    4.17      62         216
      -81058.59    4.09      64         217
      -81075.60    4.06      63         218
      -81075.41    4.30      63         219
      -81035.66    4.28      65         220
      -81055.52    4.17      64         221
      -81050.58    4.39      63         222
