  likeliklyhood    time   words   iteration
      -78004.19    9.13      26         212
      -78007.65    9.02      30         213
      -78039.21    9.13      29         214
      -78009.05   10.02      30         215
      -78034.73    9.00      31         216
      -77995.80    9.32      30         217
      -78002.38    9.12      28         218
      -77999.10    9.14      25         219
      -78008.85    9.09      24         220
      -77994.18    8.96      24         221
      -77998.31    9.03      22         222
      -77963.36    9.15      24         223
      -77958.66    9.08      20         224
      -77950.57    9.07      17         225
      -77959.74    9.17      19         226
      -77938.60    9.41      21         227
      -77941.01    9.08      19         228
      -77941.60    9.06      20         229
      -77976.84    9.04      23         230
      -77961.42    9.05      24         231
      -77967.32    9.08      20         232
      -77988.23   10.23      24         233
      -77996.69   13.04      20         234
      -78007.08    9.28      23         235
      -78024.07    9.11      24         236
      -78026.42    9.09      25         237
      -78043.52    9.09      25         238
      -78043.31    8.96      22         239
      -78076.91    9.20      26         240
      -78062.63    9.00      26         241
      -78058.99    8.99      25         242
      -78069.32    9.05      24         243
      -78054.46    8.97      24         244
      -78064.27    9.00      23         245
      -78094.63    8.93      23         246
      -78101.95    9.12      23         247
      -78073.83    9.20      24         248
      -78100.05    9.01      25         249
      -78098.13    9.01      22         250
      -78118.52    9.08      21         251
      -78143.84    9.02      24         252
      -78133.97    9.06      27         253
      -78141.69    8.94      25         254
      -78153.84    8.95      26         255
      -78169.15    8.87      27         256
      -78167.57    8.86      30         257
      -78192.12    8.89      31         258
      -78191.30    8.97      26         259
      -78170.63    8.79      25         260
      -78220.30    8.82      25         261
      -78232.91    9.00      26         262
      -78253.41    8.80      23         263
      -78242.79    8.81      28         264
      -78268.57    8.81      26         265
      -78265.10    8.80      30         266
      -78247.59    8.90      27         267
      -78237.59    8.84      28         268
      -78244.94    8.84      28         269
      -78243.10    8.87      26         270
      -78225.08    8.94      23         271
      -78225.21    8.77      23         272
      -78234.76    8.92      20         273
      -78218.76    8.87      22         274
      -78217.66    9.08      23         275
      -78213.26    9.06      20         276
      -78217.20    8.82      20         277
      -78211.07    8.85      23         278
      -78220.33    8.85      19         279
      -78223.40    9.03      21         280
      -78206.80    8.79      19         281
      -78209.86    8.81      22         282
      -78188.25    8.92      20         283
      -78186.57    9.10      20         284
      -78201.99    8.88      19         285
      -78218.97    8.81      13         286
      -78204.81    8.83      19         287
      -78216.01    9.13      21         288
      -78207.18    8.90      20         289
      -78211.08    8.79      20         290
      -78208.09    8.89      19         291
      -78198.02    8.90      14         292
      -78209.35    8.86      12         293
      -78203.91    8.80      17         294
      -78217.09    8.79      18         295
      -78213.58    8.85      17         296
      -78228.42    8.86      20         297
      -78248.45    8.84      18         298
      -78229.75    8.89      20         299
      -78204.68    8.83      19         300
      -78221.72    8.88      16         301
      -78203.43    8.85      17         302
      -78205.12    8.86      20         303
      -78224.59    8.82      21         304
      -78216.45    8.86      20         305
      -78207.86    9.02      19         306
      -78195.56    8.88      18         307
      -78192.27    8.86      18         308
      -78206.99    8.87      14         309
      -78212.46    8.85      15         310
      -78207.89    8.78      13         311
      -78212.86    9.16      15         312
      -78229.73    8.91      20         313
      -78210.02    8.83      22         314
      -78242.44    8.97      20         315
      -78224.01    9.10      20         316
      -78207.31    8.83      22         317
      -78228.49    8.82      24         318
      -78208.46    8.88      25         319
      -78222.73    8.91      24         320
      -78216.53    8.95      18         321
      -78246.80    8.80      24         322
      -78221.41    8.87      21         323
      -78249.43    8.83      19         324
